electrode,muscle,lf_absE,lf_median,lf_min,lf_max,envelope_db,lf_pca,pca_dominance,fibre_model,n_elements
midjaw,medial_pterygoid,0.28433133642955155,0.12833130950241106,0.06658270295156145,0.21070885978420079,10.00642750917821,0.16959688699393624,2.536,pca,18993
midjaw,lateral_pterygoid,0.21546218379011017,0.10412524237751747,0.03759991413849188,0.19890289279897452,14.469084925173515,,,isotropic,16134
midjaw,orbicularis_oris,0.3885059287503965,0.18244232197835658,0.04586128156968329,0.33871082117365975,17.367657701219763,,,isotropic,25336
midjaw,buccinator,0.34378404040584026,0.16945320215435647,0.04121453990223607,0.276964239217893,16.547464838607244,,,isotropic,17789
midjaw,mentalis,0.21299797432052076,0.10731184476898672,0.017777587927423705,0.1856553674413388,20.376693484205838,0.17852082043260478,2.174,pca,3226
midjaw,depressor_anguli_oris,0.3163957113849406,0.16744442222117917,0.04834363463760403,0.2308500471721324,13.579813372147866,,,isotropic,13347
midjaw,platysma,0.32656230693257265,0.14312414689620334,0.03920070824422122,0.26660542838169715,16.651501486778642,,,isotropic,37401
midjaw,sternocleidomastoid,0.23624713982579418,0.10432625325761155,0.03595659339423437,0.1553802506357556,12.712345572856131,0.12321393323215943,1.724,pca,45844
post_lobule,masseter,0.26810100827982647,0.1260371628350041,0.07398901178194352,0.17573273567401035,7.513708861023715,,,isotropic,32633
post_lobule,temporalis,0.19744600284028313,0.09194220288630138,0.03333324645700581,0.16042647434819418,13.647968516890124,,,isotropic,200000
post_lobule,medial_pterygoid,0.2790536649886584,0.12568268479153027,0.07158071556909607,0.17620863858242514,7.824623203903878,0.17375833043029637,2.536,pca,18993
post_lobule,lateral_pterygoid,0.1933566258003631,0.09632036680017964,0.04089684198015331,0.1693527908411257,12.342051690563938,,,isotropic,16134
post_lobule,orbicularis_oris,0.21960049402728793,0.10290688306469008,0.02838656320940693,0.18857710217254353,16.44752285016052,,,isotropic,25336
post_lobule,buccinator,0.2780546060278389,0.12724913135527122,0.028280060903958026,0.2381692770381676,18.508107958884658,,,isotropic,17789
post_lobule,mentalis,0.11509023092308018,0.060148558896170524,0.010361258303013047,0.09817397480656276,19.531677482543802,0.09362971184697155,2.174,pca,3226
post_lobule,depressor_anguli_oris,0.19510414120931782,0.10417200580415284,0.030836919028162713,0.14146364232870828,13.231477109226562,,,isotropic,13347
