electrode,muscle,condition,mesh,lead_field,db_rel_best_jaw
cg04,depressor_anguli_oris,aniso,truncated,0.0816320077285428,-17.7936
cg04,platysma,aniso,truncated,0.0705717583725367,-13.7794
cg04,sternocleidomastoid,aniso,truncated,0.1643784178469828,3.274
cg05,masseter,aniso,truncated,0.0840273643406341,-6.1901
cg05,temporalis,aniso,truncated,0.0995099456876786,-0.5855
cg05,medial_pterygoid,aniso,truncated,0.178602873070027,0.996
cg05,lateral_pterygoid,aniso,truncated,0.0780583342154692,-2.5027
cg05,orbicularis_oris,aniso,truncated,0.077002044420257,-13.0922
cg05,buccinator,aniso,truncated,0.0951972893910973,-14.089
cg05,mentalis,aniso,truncated,0.0437771116726908,-26.1961
cg05,depressor_anguli_oris,aniso,truncated,0.0744915032155129,-18.5887
cg05,platysma,aniso,truncated,0.0675443355600074,-14.1602
cg05,sternocleidomastoid,aniso,truncated,0.161801539233197,3.1368
cg06,masseter,aniso,truncated,0.0919558648200486,-5.4069
cg06,temporalis,aniso,truncated,0.0959838745917278,-0.8989
cg06,medial_pterygoid,aniso,truncated,0.1928929826166805,1.6645
cg06,lateral_pterygoid,aniso,truncated,0.0812931742135802,-2.15
cg06,orbicularis_oris,aniso,truncated,0.0843558741781457,-12.2999
cg06,buccinator,aniso,truncated,0.1035950182080214,-13.3547
cg06,mentalis,aniso,truncated,0.0485460548688551,-25.2979
cg06,depressor_anguli_oris,aniso,truncated,0.0830582154317843,-17.6431
cg06,platysma,aniso,truncated,0.0765110935033431,-13.0775
cg06,sternocleidomastoid,aniso,truncated,0.1797450620352255,4.0503
cg07,masseter,aniso,truncated,0.1043167047186519,-4.3115
cg07,temporalis,aniso,truncated,0.0895068897168081,-1.5057
cg07,medial_pterygoid,aniso,truncated,0.201005486727544,2.0224
cg07,lateral_pterygoid,aniso,truncated,0.0854080447841132,-1.7211
cg07,orbicularis_oris,aniso,truncated,0.0889849278223878,-11.8359
cg07,buccinator,aniso,truncated,0.1093243608185928,-12.8871
cg07,mentalis,aniso,truncated,0.0514970112957477,-24.7854
cg07,depressor_anguli_oris,aniso,truncated,0.0894870158092948,-16.9956
cg07,platysma,aniso,truncated,0.0830156538975314,-12.3688
cg07,sternocleidomastoid,aniso,truncated,0.1890377083500459,4.4881
cg08,masseter,aniso,truncated,0.1341393939347706,-2.1274
cg08,temporalis,aniso,truncated,0.0986542929232518,-0.6605
cg08,medial_pterygoid,aniso,truncated,0.240695171615092,3.5876
cg08,lateral_pterygoid,aniso,truncated,0.1025182372103279,-0.1351
